"Site
#",School,Date,Time,"Creek
Appearance","Weather  (past 48
hr)",Stage (m),"Discharge
(m3
s)",Other tests,"Sulfate
(mg
L)","Flow  (m
s)","Temp. (deg
C)","pH
Meter","TDS
(mg
L)","DO
(mg
L)","NO3-N
(mg
L)","P (mg
L)","Alk
(mg
L)","Turb
(JTU)","Fe
(mg
L)","WQI
value","Conductivity
(uS
cm)","pH
Test
Kit"
13,Parker middle,2003-01-09,9:05:00,still,some snow,lower,,,no data,slow,2.5,8.2,195,12,0.025,0,110.5,10,.,9.45,.,.
12,Parker middle,2003-01-09,9:15:00,,above freezing,normal,,,no data,,3,7.8,115,9,0.2,0.038,119,7.5,.,10.17,.,.
33,"Parker Middle
School",2003-01-09,9:18:00,brown,snow,normal,,,no data,,2.5,7.6,130,11.5,0.4,0,127.5,5,.,7.75,.,.
12,Parker middle,2003-01-09,9:50:00,,snow melting,normal,,,no data,,1,8.25,100,11,0.1,0.013,136,25,.,14.5,.,.
13,Parker middle,2003-01-09,9:55:00,,snow,higher,,,no data,,2,8.2,210,9,0.675,0.165,119,27.5,.,24.03,.,.
13,Parker middle,2003-01-10,8:30:00,calm,"cloudy, cold","3""",,,no data,,2,7.5,165,11.5,0.39,0.025,119,5,.,7.23,.,.
41,"Cam. Springs
HS (Dzurko)",2003-01-14,.,Frozen over,"cold,flurries",normal,,,no data,,1.25,7.5,150,13.5,0.45,0.008,102,7.5,.,6.67,.,.
49,"Cussewago
Elementary",2003-01-15,.,mostly frozen,cold/snowy,,,,no data,,1,8.4,6,14,0.5,0.00098,59.5,.,.,.,.,.
16,"Conneaut Lake
High",2003-01-15,.,"frozen, snowy",snow,,,,0,,2,7.4,20,17,0,0,76.5,0,0,-1.1,.,.
44,"Saegertown
JR/SR HS",2003-01-21,.,mostly frozen,cold/snow,normal,,,no data,,1,7.5,80,14,0.15,0.1,110,10,.,5.2,.,.
43,"Maplewood
JR/SR HS",2003-01-22,.,mostly frozen,cold/flurries,lower,,,no data,,1,7.7,100,14.5,0.09,.,85,5,.,.,.,.
2,Bethesda,2003-01-23,.,frozen,"very cold, windy",normal,,,no data,quick,0,7.75,90,14,0.45,0.026,119,5,.,8.09,.,.
6,Saegertown,2003-01-24,.,Greenish brown,"snow, cold",normal,,none,no data,,.,7.9,120,13.5,0.3,.,110.5,5,.,.,.,.
36,Conneaut Valley,2003-01-28,1:30:00,ice covered,"cold, snow, -7.0",0.28,0.24,,no data,0.27,0.15,6.4,105,7.3,0.72,0.16,85,5,.,24.29,.,.
37,Conneaut Valley,2003-01-28,1:45:00,ice covered,"snow, cold, -6.0",0.68,1.78,,no data,0.36,0.25,6.5,110,10.38,0.34,0.24,85,5,.,18.73,.,.
38,Conneaut Valley,2003-01-28,2:05:00,ice covered,"snow, cold, -6.4",0.88,1.75,,no data,0.21,0.2,6.5,130,9.2,0.5,0.14,85,5,.,19.66,.,.
50,"Conneaut Lake
High",2003-01-29,.,frozen,"light snow, 2""",normal,,,< 50,,0.5,7.75,130,13.5,.,0.009,59.5,32.5,0.145,.,.,.
16,"Conneaut Lake
High",2003-01-29,.,frozen,"snow, cold",higher,,,0,,1,7.5,130,8,0,0,102,10,0.152,6.4,.,.
3,Bethesda,2003-01-30,.,frozen banks,"clear, sunny",low,,,no data,fast,0,7.7,.,13,0.55,0.077,127.5,5,.,.,.,.
47,Youngsville HS,2003-01-31,.,clear,cold/flurries,~1m,,,no data,normal,8,6.8,220,8,2,.,25,37,.,.,.,.
35,Meadville HS,2003-01-31,.,fairly clear,"drizzle, cooler",lower,,,no data,,1,7,90,14,0.1,0.07,85,5,.,7.25,.,.
25,"Meadville
Middle",2003-01-31,.,frozen,"cold, snow",normal,,,no data,,0,7.6,80,15,0.23,0,34,10,.,4.6,.,.
26,"Meadville
Middle",2003-01-31,.,frozen,"cold, snow",normal,,,no data,,0,7.25,75,13.5,0.15,0.1,54.5,10,.,7.55,.,.
7,Meadville HS,2003-01-31,.,cloudy,"drizzle, cooler",normal,,,no data,,2,7,90,13,0.04,0.013,102,12.5,.,8,.,.
5,"Cambridge
Springs",2003-01-31,3:00:00,clear,,higher,,,no data,faster,6,7,140,11,.,.,.,.,.,.,.,.
5,"Cambridge
Springs",2003-01-31,12:00:00,runoff visible,fair,higher,,,0.3,1,5,7.3,105,5,0.15,0.02,34,.,.,.,.,.
5,"Cambridge
Springs",2003-02-03,3:00:00,runoff visible,warmer,normail,,none,no data,,6,7.3,115,5.5,0.27,0.15,110.5,10,.,14.7,.,.
5,"Cambridge
Springs",2003-02-03,12:15:00,,snow,0.33,,none,no data,10,3.5,7.25,140,9,.,0.667,85,20,0.2,.,.,.
5,"Cambridge
Springs",2003-02-03,12:20:00,partly frozen,"rain, snow",0.4,,none,no data,1,4,7.25,120,14,1,0.036,93.5,7.2,0.3,14.18,.,.
49,"Cussewago
Elementary",2003-02-05,.,slush all over,"snowy, rainy",higher,,,no data,,1,8.9,50,14,0.6,0.00068,68,5,.,18.41,.,.
16,"Conneaut Lake
High",2003-02-05,.,partial frozen,snow,,,,0.14,,3,8,60,11.5,0.005,0,68,5,0.001,7,.,.
6,Saegertown,2003-02-07,.,Greenish brown,cold/snow,normal,,,no data,,.,7.9,85,12.5,0.2,.,102,5,.,.,.,.
39,General McLane,2003-02-10,.,clear,snow,,,,no data,,2,8.65,80,12,0.315,.,102,.,.,.,.,.
36,Conneaut Valley,2003-02-11,1:30:00,ice covered,"cold, snow, -10.0",0.29,0.47,,no data,0.52,0.1,6.4,90,11,0.6,0.02,68,5,.,18.4,.,.
37,Conneaut Valley,2003-02-11,1:45:00,ice covered,"snow, cold, -8.8",0.7,3.27,,no data,0.64,1,6.1,90,11,0.46,0.02,85,5,.,19.4,.,.
38,Conneaut Valley,2003-02-11,2:05:00,ice covered,"snow, cold, -8.5",0.75,2.15,,no data,0.27,0,6.3,100,12,0.5,0.06,102,5,.,18.1,.,.
41,"Cam. Springs
HS (Dzurko)",2003-02-18,.,mostly frozen,cold/snow,normal,,,no data,,2,7.6,130,12,0.2,0.04,105,10,.,7,.,.
48,"Conneaut Lake
High",2003-02-18,.,frozen,"cold, snow",normal,,,< 50,,4,7.8,55,12,.,3.5,51,10,.,.,.,.
49,"Cussewago
Elementary",2003-02-19,.,frozen,snowy/cold,normal,,,no data,,5,8,140,14,0.5,0.00068,51,.,.,.,.,.
43,"Maplewood
JR/SR HS",2003-02-19,.,mostly frozen,cold/snowy,normal,,,no data,,3.5,7.4,90,12.5,0.05,0.02,70,5,.,3.85,.,.
2,Bethesda,2003-02-20,.,frozen,high 30's,higher,,,no data,,5,.,.,13,0.82,0,122.5,5,.,.,.,.
12,Parker middle,2003-02-20,8:20:00,frozen parts,,,,,no data,,-1,9.3,125,14.5,.,0.007,102,7.5,.,.,.,.
33,"Parker Middle
School",2003-02-20,8:35:00,,cold,,,,no data,,0.5,8.6,140,11.5,0,0,127.5,10,.,12.75,.,.
33,"Parker Middle
School",2003-02-20,9:58:00,clear /ice,snowy,higher,,,no data,,2,8,160,10,0,0.076,119,0,.,8.14,.,.
51,"Sugar Grove
Elementary",2003-02-21,.,part frozen,snow,normal,,,no data,,0.5,.,75,11.5,.,22.5,20.4,.,.,.,.,.
44,"Saegertown
JR/SR HS",2003-02-21,.,frozen,cold/snow,normal,,,no data,n/a,1,7.5,80,14,0.15,0.1,102,10,.,5.2,.,.
1,Maplewood,2003-02-21,9:00:00,clear/frozen,Clear,low,,,no data,,.,7.5,40,13,0,0,85,0,.,0.9,.,.
1,Maplewood,2003-02-21,11:30:00,icy,clear,low,,,no data,,1,7.5,30,13,0,0,85,0,.,0.9,.,.
18,"Conneaut Lake
High",2003-02-25,.,"frozen, snowy",snow,normal,,,no data,,4,7.6,110,16.5,0.01,0.667,102,.,.,.,.,.
50,"Conneaut Lake
High",2003-02-26,.,frozen,sunny/ cold,higher,,,50,,.,6.55,110,9,16,.,34,10,1,.,.,.
46,"Seneca High
School",2003-02-26,.,ice,snow/rain,normal,,,,,2,8.7,100,10,.,.,13.6,.,.,12.6,.,.
36,Conneaut Valley,2003-02-26,1:30:00,partial ice,"cold, snow, -9.5",0.38,0.9,,no data,0.78,0.1,7.3,70,10.05,0.3,0.02,68,5,.,8.87,.,.
37,Conneaut Valley,2003-02-26,1:45:00,partial ice,"cold, snow, -8.4",0.85,3.96,,no data,0.64,0.1,6.3,70,11.36,0.42,0.08,68,5,.,18.05,.,.
38,Conneaut Valley,2003-02-26,2:05:00,partial ice,"cold, snow, -9.9",0.85,1.75,,no data,0.21,0.1,6.4,80,14.13,0.37,0.05,51,5,.,14.36,.,.
32,"Seneca High
School",2003-02-27,.,clear/frozen,sun/snow,normal,,,no data,,1,7.4,95,6,0.001,0.007,68,.,.,.,.,.
28,Fort LeBoeuf,2003-02-28,.,part frozen,light snow,1.08,,,no data,,0.4,8.3,100,18,0.6,0.4,129,5,.,16.8,.,.
25,"Meadville
Middle",2003-03-06,.,,"cold, snow melt",high,,,no data,fast,0,7,100,14,0.14,0,76.5,22.5,.,10.1,.,.
26,"Meadville
Middle",2003-03-06,.,,,,,,no data,,0,6.85,90,11.5,0.29,0,34,5,.,11.05,.,.
5,"Cambridge
Springs",2003-03-06,.,clear,snow,0.8,,,no data,0.75,1,7.6,105,11,0.9,.,27.2,5,.,.,.,.
5,"Cambridge
Springs",2003-03-09,.,,rain,1.9,,,no data,0.7,2,6.35,75,11.5,1,0.07,27.2,10,.,24.2,.,.
5,"Cambridge
Springs",2003-03-10,3:00:00,,"cold, snowy",1.8,,,no data,1.66,3,6.85,95,6.5,.,.,68,22.5,.,.,.,.
5,"Cambridge
Springs",2003-03-10,12:15:00,,some snow,1.9,,,no data,7,3,6.4,70,11.5,0.01,0.33,85,10,.,17.8,.,.
36,Conneaut Valley,2003-03-11,1:30:00,partial ice,"cold, snow, -5.9",0.45,0.56,,no data,0.4,0.2,6.3,60,12.92,0.54,0.05,68,5,.,17.71,.,.
37,Conneaut Valley,2003-03-11,1:45:00,partial ice,"cold, snow, -4.3",0.85,2.04,,no data,0.33,0.1,6.4,70,11.92,0.46,0.07,51,5,.,17.11,.,.
38,Conneaut Valley,2003-03-11,2:05:00,partial ice,"cold, snow, -3.2",0.78,1.7,,no data,0.23,0.1,6.9,80,13.66,0.34,0.01,68,5,.,9.79,.,.
54,"Cambridge
Springs HS",2003-03-12,.,,,,,,no data,,5,6.45,95,12,.,.,60,5,.,.,.,.
16,"Conneaut Lake
High",2003-03-12,.,clear,rain/snow,higher,,,<50,,6,8.4,100,8,0.08,0.0045,119,27.5,0.1,17.97,.,.
39,General McLane,2003-03-14,.,half frozen,"cold,snow",higher,,,no data,,.,7.45,90,15,.,0.013,119,5,.,.,.,.
44,"Saegertown
JR/SR HS",2003-03-17,.,greenish-brown,warmer,high,,,no data,,2.5,7.6,85,12.5,0.18,0.066,102,15,.,7.84,.,.
23,Cochranton,2003-03-17,.,Muddy/turbid,"temp 70s, dry",high,,,no data,,5,5,900,13,.,0.1,.,105,.,.,.,.
1,Maplewood,2003-03-17,3:00:00,,"Clear, warm",high,,,no data,increased,5,6.7,20,12,0,0,85,15,.,11,.,.
1,Maplewood,2003-03-17,8:30:00,,warm,,,,no data,,2.5,7.6,20,12,0.04,0,51,10,.,4.8,.,.
1,Maplewood,2003-03-17,9:15:00,,warm,High,,,no data,increased,3,7.5,20,13,0,0,34,5,.,1.9,.,.
1,Maplewood,2003-03-17,10:00:00,,Warm,high,,,no data,increased,4,7.4,30,13,0,0,34,5,.,2.7,.,.
1,Maplewood,2003-03-17,11:00:00,,Warm,high,,,no data,increased,4,7.2,30,14,0.05,0,34,4,.,3.9,.,.
1,Maplewood,2003-03-17,12:00:00,,"Clear, warm",high,,,no data,increased,6,7.1,30,12,0,0.03,51,3,.,5.85,.,.
48,"Conneaut Lake
High",2003-03-18,.,partly frozen,"sunny, warm",higher,,,< 50,,2,7.9,85,11.5,0.02,0.023,102,2.5,.,6.2,.,.
39,General McLane,2003-03-18,.,,"sunny,clear",higher,,,no data,faster,12,7.8,40,11,.,0.033,136,10,.,.,.,.
41,"Cam. Springs
HS (Dzurko)",2003-03-18,.,,,,,,no data,,3,7.4,140,12,0.2,0.1,110.5,12.5,.,8.4,.,.
23,Cochranton,2003-03-18,.,muddy,hot & dry,high,,,no data,fast,9,6.1,70.8,11,0.22,0.035,.,55,.,.,.,.
18,"Conneaut Lake
High",2003-03-18,.,frozen,"cold, snow",normal,,,no data,,2,7.65,20,13,0.01,0.2,34,.,.,.,.,.
22,Cochranton,2003-03-18,1:15:00,muddy/ turbid,"dry, calm, 70's",High,,,no data,Fast,6.5,5.4,93,11,0.18,0.03,.,121,.,.,.,.
55,"Northwestern
High School",2003-03-19,.,over flowing,snow melt,high,,,no data,,.,7.2,.,12,0.03,0,68,20,.,.,.,.
40,General McLane,2003-03-19,.,,"cold, snow",,,,no data,,5,7.7,50,14,0,0,34,15,.,4.8,.,.
43,"Maplewood
JR/SR HS",2003-03-19,.,clear,warmer,high,,,no data,,3.5,7.5,90,13,0.15,0.05,93.5,5,.,4.15,.,.
35,Meadville HS,2003-03-19,.,fairly clear,cooler,0.15,3.52,,no data,4.69,.,7.15,100,11.5,0.425,0.043,87.8,5,.,10.65,.,.
7,Meadville HS,2003-03-19,.,muddy,cooler and cloudy,high,,,no data,fast,8,7.85,60,19,0.6,0.083,93.25,18.75,.,10.5,.,.
55,"Northwestern
High School",2003-03-20,.,over flowing,snow melt,high,,,no data,,2,7.2,.,12,0.03,0,85,20,.,.,.,.
55,"Northwestern
High School",2003-03-24,.,over flowing,snow melt,high,,,no data,,2,7.25,.,11,0.05,0,102,10,.,.,.,.
55,"Northwestern
High School",2003-03-25,.,over flowing,snow melt,high,,,no data,,4,8,.,9,0.05,0.013,272,10,.,.,.,.
3,Bethesda,2003-03-25,.,clear,clear,0.91,,,no data,fast,5,7.65,75,12,0.635,0.015,110.5,10,.,11.38,.,.
36,Conneaut Valley,2003-03-25,1:30:00,freely flowing,"warm, windy, 13.7",0.38,0.77,,no data,0.65,7.2,6.5,75,10.21,0.54,0.12,68,5,.,19.05,.,.
37,Conneaut Valley,2003-03-25,1:45:00,freely flowing,"warm, windy, 14.3",0.78,2.79,,no data,0.49,7.3,6.5,75,9.49,0.22,0.14,51,5,.,16.66,.,.
38,Conneaut Valley,2003-03-25,2:05:00,freely flowing,"warm, windy, 13.9",0.8,3.25,,no data,0.43,7.6,6.5,80,8.25,0.34,0.15,68,5,.,18.88,.,.
50,"Conneaut Lake
High",2003-03-26,.,no ice,no data,very high,,,50,,14.5,8.2,100,11.5,0.04,0.013,102,5,0.09,9.14,.,.
55,"Northwestern
High School",2003-03-26,.,over flowing,snow melt,high,,,no data,,4,7.25,.,10,0.02,0,85,10,.,.,.,.
40,General McLane,2003-03-26,.,,"bright, sunny",,,,no data,,10,8.2,90,10,0,0,51,10,.,10.6,.,.
51,"Sugar Grove
Elementary",2003-03-31,.,clear,rain/snow,normal,,,no data,fast,5,.,60,11,.,3,20.4,.,.,.,.,.
46,"Seneca High
School",2003-04-03,.,normal,clear,normal,,,no data,,12,7.4,185,13,.,.,17.9,5,.,.,.,.
43,"Maplewood
JR/SR HS",2003-04-06,.,clear,"clear, sunny",normal,,,no data,,12,7.2,70,9.5,0.1,0.03,68,5,.,8.2,.,.
36,Conneaut Valley,2003-04-08,1:30:00,turbid,"light rain, 4.3",0.45,1.88,,no data,1.34,3.6,6.5,45,8.88,0.16,0.06,51,10,.,16.28,.,.
37,Conneaut Valley,2003-04-08,1:45:00,turbid,"light rain, cloudy, 4.1",1.15,0.84,,no data,0.96,3.5,6.7,50,10.96,0.12,0.01,51,10,.,12.08,.,.
38,Conneaut Valley,2003-04-08,2:05:00,turbid,"light rain, 4.7",1.4,0.37,,no data,0.28,3.4,6.9,50,10.86,0.32,0.03,68,10,.,12.85,.,.
1,Maplewood,2003-04-15,3:00:00,clear,clear and warm,normal,,,no data,,15,7.5,30,8,0,0,68,0,.,4.4,.,.
1,Maplewood,2003-04-15,9:00:00,clear,clear/warm,normal,,,no data,,9,8,30,12,0,0,51,2.5,.,6.1,.,.
1,Maplewood,2003-04-16,9:30:00,clear,warm/sunny,normal,,,no data,,12,7.3,30,7,0,0,51,1,.,6.9,.,.
1,Maplewood,2003-04-16,10:30:00,clear,sunny/warm,normal,,hardness=4g/gal,no data,,12,6.9,30,10,0,0.03,85,1,.,8.45,.,.
48,"Conneaut Lake
High",2003-04-18,.,ice thawed,"rain, T-storms",higher,,,< 50,,10,7.25,95,12,0,0.05,85,10,.,6.35,.,.
55,"Northwestern
High School",2003-04-22,.,cloudy,rain,high,,,no data,,.,7.25,.,13,0.02,0.017,85,20,.,.,.,.
18,"Conneaut Lake
High",2003-04-22,.,cloudly brown,"cold,rain",normal,,,no data,,10,7.3,100,6,.,2,68,.,.,.,.,.
36,Conneaut Valley,2003-04-22,1:30:00,clear,"cloudy, cold, 7.2",0.44,1.29,,no data,0.94,11.5,7,90,8.71,0.26,0.01,68,5,.,11.65,.,.
37,Conneaut Valley,2003-04-22,1:45:00,turbid,"cold, light rain, 7.8",0.86,4.76,,no data,0.76,11.6,6.9,90,9.04,0.14,0.03,68,5,.,11.32,.,.
38,Conneaut Valley,2003-04-22,2:05:00,turbid,"cold, light rain, 6.6",0.97,2.75,,no data,0.3,12.3,7.1,90,9.72,0.18,0.01,51,5,.,9.35,.,.
50,"Conneaut Lake
High",2003-04-23,.,fairly clear,light snow/rain,normal,,,< 150,,10.5,8.15,105,9.5,.,0.03,42.5,20,0.75,.,.,.
46,"Seneca High
School",2003-04-24,.,clear,rain/snow,normal,,,no data,,11,7,180,6,.,.,34,.,.,.,.,.
47,Youngsville HS,2003-04-25,.,clear,"dry, sunny",2 feet,,,no data,slower,10,7.1,80,12,0.7,0,51,35,.,18.8,.,.
40,General McLane,2003-04-29,.,,"sunny, wind",,,,no data,,20,7.95,70,10,0,0.33,34,10,.,13.55,.,.
3,Bethesda,2003-05-01,.,clear,"sunny, 60's",low,,,no data,n/a,18,7.45,50,.,3.6,0,93.5,0,.,.,.,.
36,Conneaut Valley,2003-05-06,1:30:00,very turbid,"windy, T-storms,
13.7",0.75,3.37,,no data,1.44,10.6,7.1,60,8.85,0.12,0.07,34,20,.,13.26,.,.
37,Conneaut Valley,2003-05-06,1:45:00,very turbid,"windy, T-storms,
14.3",1.85,9.44,,no data,0.7,11,6.8,50,7.48,0.1,0.01,51,50,.,21.51,.,.
38,Conneaut Valley,2003-05-06,2:05:00,very turbid,"windy, T-storms,
16.5",1.9,8.99,,no data,0.5,11.1,6.8,55,9.3,0.08,0.01,17,50,.,20.04,.,.
46,"Seneca High
School",2003-05-08,.,,rain,normal,,,no data,,20,7.4,180,10,0.03,.,20.4,.,.,.,.,.
1,Maplewood,2003-05-14,8:30:00,normal,rainy,high,,"hardness=3g/gal,
Ca=2g/gal, Mg=1g/gal",no data,,10,6.8,20,11,0,0,34,2.5,.,8.4,.,.
1,Maplewood,2003-05-14,12:00:00,normal,rain/storm,normal,,"hardness=2g/gal;
Ca=1g/gal; Mg=1g/gal",no data,,10,6.8,20,10,0,0,51,2.5,.,9.1,.,.
15,"Conneaut Lake
High",2003-05-21,.,clear,light rain/ cool,normal,,,< 50,,11.5,.,81,9.5,.,0.009,64.5,5,0.5,.,.,.
15,"Conneaut Lake
Jr/Sr. High",2003-05-21,8:45:00,clear,"light rain, cool, 45
degrees fahrenheit,",N/A,N/A,N/A,<50,N/A,11.5,.,81,9.5,0,0.0095,64.5,5,0.5,.,.,.
3,Bethesda,2003-05-22,.,clear,clear,normal,,,no data,fast,14.5,7.7,50,10.5,0.65,0,136,2.5,.,11.25,.,.
47,Youngsville HS,2003-05-23,.,calm clear,rain,high,,,no data,n/a,14,6.8,120,9,0,0,124,10,.,11.3,.,.
28,"Fort LeBoeuf
High School",2003-09-02,.,muddy,rain,higher,,Hardness: 94.05mg/L,<50,fast,18.05,7.75,80,10,0.17,.,93.5,30,0.2,.,.,.
41,"Cambridge
Springs Jr./Sr.",2003-09-07,.,clear,sunny,lower,,,,lower,13.75,7.45,130,11,0.23,0.073,127.5,10,.,8.095,.,.
19,"Clymer Central
School",2003-09-11,.,clear,clear,higher,,,,,17,8.75,201.5,11,0.075,0.00067,170,15,.,16.06005,.,.
28,"Fort LeBoeuf
High School",2003-09-11,.,clear,sunny,normal,,Hardness: 162.45mg/L,<50,,22.05,8.45,129.5,13,0.19,.,102,1.5,.,.,.,.
47,"Youngsville
High School",2003-09-11,.,clear,sunny,normal,,,,,16,8,200,6,0.1,0.3,4.4,10,.,17.3,.,.
18,"Conneaut Lake
High School",2003-09-16,.,brown,rain,higher,,,,,20,8.3,80,4,0.1,0.024,45.5,7.5,.,16.46,.,.
36,"Conneaut Valley
High Schoo",2003-09-16,.,turbid,partly cloudy/warm,0.39,0.25,,,,16.9,7.8,140,8.6,0.31,0.07,68,10,.,12.53,.,.
37,"Conneaut Valley
High Schoo",2003-09-16,.,turbid,"cloudy, warm",0.72,0.11,,,,17.6,8,150,8.1,0.35,0.06,68,10,.,14.73,.,.
47,"Youngsville
High School",2003-09-16,.,clear,clear,normal,,,,,19,6.9,210,10,0.26,0.02,68,10,.,12.7,.,.
48,"Conneaut Lake
High School",2003-09-16,.,muddy,rainy,higher,,,,,20,7.45,120,6,0.02,0.03,391,30,.,12.85,.,.
16,"Conneaut Lake
High School",2003-09-17,.,stagnent,sunny,,,,,,16,7.4,100,4.5,0.6,0.06,93.5,20,.,18.55,.,.
3,"Bethesda
Children's Home",2003-09-18,.,clear,sunny,normal,,,,normal,20,7.5,90,9,0,.,80,5,.,4.7,.,.
28,"Fort LeBoeuf
High School",2003-09-20,.,clear,rain,higher,,Hardness: 119.7mg/L,<50,,17.2,7.6,110,11.5,0.2,0.04,119,10,0.15,7.35,.,.
39,"General McLane
High School",2003-09-23,.,clear,rain,higher,,,,fast,15,8.1,105,10.5,0.02,.,119,7.5,.,.,.,.
5,"Cambridge
Springs High
Sch",2003-09-24,.,,,,,,,,17.75,7.86,100,8.75,0.08,0.035,53.55,10,.,10.08,.,.
49,"Cussewago
Elementary
Schoo",2003-09-24,.,clear,rain,lower,,,,,15,8,130,9.5,0.2,0.003,68,40,.,17.395,.,.
1,"Maplewood
High School",2003-09-24,9:00:00,clear,clear,normal,,"Hardness: 34.2mg/L, Ca:
17.1mg/L, Mg: 17.1mg/L",,normal,13,7,30,8,0,0,68,0,.,8.4,.,.
1,"Maplewood
High School",2003-09-24,13:45:00,clear,clear,normal,,"Hardness: 85.5mg/L, Ca:
68.4mg/L, Mg: 17.1mg/L",,normal,14,7,30,10,0,0,68,2,.,7.4,.,.
25,"Meadville
Middle School",2003-09-25,.,cloudy,rain,higher,,,,fast,17,7.1,95,9,0.09,0.03,110.5,12.5,.,10.75,.,.
26,"Meadville
Middle School",2003-09-25,.,cloudy,rain,higher,,,,fast,16,6.95,100,8,0.07,0.04,110.5,20,.,14.1,.,.
29,"Wattsburg Area
Middle Scho",2003-09-25,.,clear,rainy,normal,,,,,25,14,180,7.3,0.001,0.08,119,10,.,60.1,.,.
30,"Wattsburg Area
Middle Scho",2003-09-25,.,cloudy,,,,,,,15,7.5,210,6,0.001,0.003,68,10,.,.,.,.
30,"Wattsburg Area
Middle Scho",2003-09-25,.,algal,drizzle,lower,,,,,13,7.3,110,8,0.001,0.001,85,10,.,.,.,.
32,"Wattsburg Area
Middle Scho",2003-09-25,.,,rainy,,,,,,15,7.1,180,6,0.03,0.001,85,20,.,.,.,.
1,"Maplewood
High School",2003-09-26,.,clear,clear,normal,,"Hardness: 85.5mg/L, Ca:
68.4mg/L,  Mg:  17.1mg",,normal,12,7,30,10,0,0.16,51,0,.,9.4,.,.
29,"Wattsburg Area
Middle Scho",2003-09-26,.,,cloudy,,,,,,4,7.2,100,12,0.001,0.02,102,5,.,5.31,.,.
32,"Wattsburg Area
Middle Scho",2003-09-26,.,brown,rainy,lower,,,,,12,7,110,6,0.001,0.001,85,10,.,.,.,.
47,"Youngsville
High School",2003-09-26,.,cloudy,rain,normal,,,,slow,10,7.5,70,7.1,0,0,153,1,.,5.23,.,.
28,"Fort LeBoeuf
High School",2003-09-30,.,murky,rain,higher,,Hardness: 102.6,<50,,12.8,7.7,70,12.5,0.23,0.13,119,10,.,9.1,.,.
36,"Conneaut Valley
High Schoo",2003-09-30,.,turbid,light rain,0.59,1.16,,,,12,7.9,90,9.96,0.31,0.01,51,5,.,10.478,.,.
37,"Conneaut Valley
High Schoo",2003-09-30,.,turbid,light rain,1.06,0.88,,,,12.4,8.1,90,8.95,0.21,0.01,51,10,.,12.785,.,.
38,"Conneaut Valley
High Schoo",2003-09-30,.,turbid,light rain,1.39,0.46,,,,12.2,8.3,90,7.95,0.23,0.02,51,15,.,16.435,.,.
52,"Cambridge
Springs High
Sch",2003-10-01,.,brown,rain,higher,,,,fast,12.5,7.5,80,11,0.085,0.01,27.2,10,.,5.3,.,.
2,"Bethesda
Children's Home",2003-10-02,.,clear,rain,normal,,,,,9,7.3,50,11,0.3,0.0298,85,5,.,8.347,.,.
46,"Seneca High
School",2003-10-02,.,veg growth,"rain, snow",normal,,,,,11,7,140,12.5,0,0,34,5,.,6.25,.,.
58,"Maplewood
High School",2003-10-03,.,clear,"rain, snow",higher,,,,fast,9,7.6,50,12,0,0,93.5,2.5,.,2.9,.,.
1,"Maplewood
High School",2003-10-03,10:00:00,clear,"clear, cold",normal,,"Hardness: 51.3mg/L, Ca:
34.2mg/L, Mg: 17.1mg/L",,,8,7.15,20,7,0,0.25,102,0,.,11.65,.,.
1,"Maplewood
High School",2003-10-03,11:00:00,clear,"clear, cold",normal,,"Hardness: 51.3mg/L, Ca:
34.2mg/L, Mg: 17.1mg/L",,,7,7.1,30,9,0,0.18,51,5,.,10.6,.,.
47,"Youngsville
High School",2003-10-07,.,clear,clear,higher,,,,,10,7,70,11,0.34,0.026,54.4,80,.,26.09,.,.
4,"Cambridge
Springs High
Sch",2003-10-08,.,brown,sunny,normal,,,,slow,12.25,7.47,75,9.75,0.875,0.1625,42.5,6.25,.,15.8525,.,.
16,"Conneaut Lake
High School",2003-10-08,.,cloudy,rain,normal,,,<50,slow,13,9.3,20,5.5,0.085,0.1,119,25,0.0333,27.9,.,.
23,"Cochranton
High School",2003-10-09,.,clear,"sunny, clear",higher,,,,fast,11.5,8.9,135.5,10.5,0.5,0.115,39,19,.,.,.,.
55,"Northewestern
High School",2003-10-10,.,clear,"cloudy, showers",normal,,,,normal,14,7.3,90,9,0.05,0.035,229,2.5,.,6.825,.,.
56,"Northwestern
High School",2003-10-10,.,normal,no rain,normal,,,,,14,7.4,100,10,.,0.04,68,10,.,6.4,.,.
51,"Sugar Grove
Elementary",2003-10-13,.,clear,rain,normal,,,,,14,.,975,12,.,0.02,100,.,.,61.9,.,.
18,"Conneaut Lake
High School",2003-10-14,.,clear,sunny,normal,,,,,17,7.1,110,7.5,0,0,17,0,.,7.95,.,.
36,"Conneaut Valley
High Schoo",2003-10-14,.,turbid,light rain,0.42,0.49,,,,11.1,8,170,10.67,0.54,0.06,68,5,.,13.831,.,.
37,"Conneaut Valley
High Schoo",2003-10-14,.,turbid,light rain,0.68,0.37,,,,12.3,8.1,155,11.4,0.22,0.04,85,5,.,10.62,.,.
38,"Conneaut Valley
High Schoo",2003-10-14,.,turbid,light rain,0.77,0.09,,,,12.6,8.1,160,10.54,0.16,0.08,85,5,.,11.222,.,.
43,"Maplewood
Jr./Sr. High",2003-10-14,.,clear,overcast,lower,,,,lower,11,7.35,75,11.5,0.07,0.0298,76.5,5,.,5.297,.,.
